# Datafil for den aabne hob Plejaderne.
# Kilde: http://outreach.atnf.csiro.au/education/senior/astrophysics/stellarevolution_pleiadesact.html
# Farveindekset er en talværdi, som angiver en stjernes farve, hvilket er mere praecist end at
# skrive gullig eller blaagroen.
# Smaa og endda negative vaerdier for farveindekset betyder, at stjernen er blaa/violet,
# mens store vaerdier betyder, at stjernen er roed.
# stjernenummer,farveindeks, visuel stoerrelsesklasse
1,0.58,10.31
2,0.06,7.39
3,-0.07,6.47
4,0.14,7.84
5,-0.12,4.96
6,-0.12,3.51
7,0.18,7.99
8,0.74,11.22
9,0.08,6.82
10,0.82,10.78
11,0.45,8.92
12,0.52,9.89
13,0.32,8.14
14,0.51,9.12
15,0.5,9.75
16,0.17,7.53
17,0.6,10.35
18,0.02,6.68
19,-0.13,2.74
20,-0.02,6.16
21,0.22,8.12
22,0.42,8.56
23,0.01,7.13
24,-0.01,6.86
25,-0.02,6.69
26,1.14,12.48
27,0.43,9.33
28,0.26,8.24
29,0.42,9.16
30,0.98,11.99
31,0.83,11.58
32,0.6,10.29
33,0.82,11.21
34,0.75,12.76
35,0.06,7.22
36,0.28,7.83
37,-0.1,4.05
38,0.51,9.57
39,-0.08,5.63
40,-0.06,6.3
41,0.31,8.47
42,0.88,11.14
43,-0.11,3.75
44,0.12,7.05
45,0.48,9.32
46,0.63,10.42
47,0.58,10
48,0.17,7.91
49,0.16,7.72
50,-0.15,4.18
51,0.59,10.26
52,-0.08,5.33
53,0.3,8.45
54,0.81,11.27
55,-0.15,3.58
56,0.76,10.68
57,0.9,11.8
